date,project_id,client,region,fleet_size,deployment_status,planned_daily_spend_usd,actual_daily_spend_usd,hw_cost_actual_usd,hw_cost_planned_usd,labor_hours,shipping_delay_days,cumulative_planned_usd,cumulative_actual_usd,is_spike_day
2024-08-31,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,5731.74,5993.82,3336.66,3439.05,281.3,0.0,707288.47,736281.95,False
2024-08-30,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,5013.27,5875.49,3912.36,3007.96,189.2,0.0,886074.01,918560.12,False
2024-07-22,AMR-005,Amazon - Dallas FC,North America,30,Site Installation,6863.39,5714.51,3701.16,4118.03,319.4,0.0,706629.09,718164.36,False
2024-02-12,AMR-001,Ford Motor - Michigan Facility,North America,12,Hardware Procurement,4252.36,3214.85,1821.18,2551.42,97.4,0.0,121431.85,123532.98,False
2024-06-29,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3599.17,3798.59,2302.41,2159.5,110.9,0.0,478642.81,489617.15,False
2024-09-22,AMR-003,DHL - Singapore Hub,APAC,20,Monitoring,5438.61,5648.43,3585.45,3263.16,208.8,0.0,1005006.86,1038307.73,False
2024-09-02,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,6213.97,6008.15,,3728.38,282.0,0.0,719150.01,747925.71,False
2024-07-27,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5436.66,5385.63,3552.74,3262.0,239.3,0.0,711564.6,731083.44,False
2024-02-08,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Hardware Procurement,4270.64,5162.0,2992.52,2562.38,131.1,0.0,91994.51,95313.22,False
2024-04-30,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,4949.01,5257.97,3496.16,2969.41,219.8,0.0,263779.26,270774.05,False
2024-04-28,AMR-003,DHL - Singapore Hub,APAC,20,Hardware Procurement,5190.99,4886.39,3111.88,3114.6,171.5,0.0,254186.76,260103.79,False
2024-11-19,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Go-Live,5806.56,6498.47,3625.88,3483.94,256.2,0.0,1175077.56,1212930.91,False
2024-05-29,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Hardware Procurement,5539.45,5844.72,3917.59,3323.67,200.9,0.0,166212.5,174456.06,False
2024-05-24,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3536.84,4637.94,3104.05,2122.11,,0.0,351762.46,357116.3,True
2024-05-24,AMR-004,Bosch - Stuttgart Plant,EMEA,15,UAT,4743.93,4713.49,2954.27,2846.36,160.7,0.0,585308.09,601030.72,False
2024-09-19,AMR-005,Amazon - Dallas FC,North America,30,Go-Live,6255.46,5921.37,3823.79,3753.28,354.1,0.0,1068080.09,1095604.08,False
2024-06-27,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Monitoring,4822.95,4773.87,3070.52,2893.77,122.3,0.0,742537.44,768573.36,False
2024-10-07,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,UAT,5540.08,6038.56,4110.67,3324.05,220.1,0.0,922279.81,955780.54,False
2024-06-22,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,4840.24,5602.88,3086.06,2904.14,181.4,0.0,533159.02,545917.26,False
2024-04-27,AMR-003,DHL - Singapore Hub,APAC,20,Hardware Procurement,4922.35,5155.89,3538.4,2953.41,185.4,0.0,248995.76,255217.4,False
2024-07-04,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Staging & Config,5285.09,5265.43,3524.17,3171.05,200.3,0.0,373754.9,388669.18,True
2024-08-03,AMR-006,Unilever - Rotterdam DC,EMEA,10,Go-Live,3979.68,3503.27,1935.22,2387.81,110.5,0.0,601834.62,614151.23,False
2024-02-15,AMR-001,Ford Motor - Michigan Facility,North America,12,Hardware Procurement,4510.22,3912.92,2220.1,2706.13,103.4,2.0,134340.16,135351.39,False
2024-06-14,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,UAT,3893.56,3901.48,2282.0,2336.14,91.3,0.0,515250.92,529503.8,False
2024-03-24,AMR-003,DHL - Singapore Hub,APAC,20,Planning,5039.91,5339.1,3633.62,3023.94,187.9,,77382.62,77016.71,False
2024-11-10,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,UAT,5794.76,5998.12,3548.06,3476.85,282.9,0.0,1123245.83,1158777.84,False
2024-07-25,AMR-006,Unilever - Rotterdam DC,EMEA,10,Go-Live,3594.56,3849.88,2295.83,2156.73,106.4,0.0,568584.66,581958.71,False
2024-05-17,AMR-005,Amazon - Dallas FC,North America,30,Hardware Procurement,6690.13,6183.89,3772.99,4014.08,349.0,0.0,295608.01,301735.48,False
2024-08-11,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Monitoring,3616.57,3800.07,2259.52,2169.94,74.8,0.0,736276.71,758221.36,False
2024-06-30,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3382.9,3120.15,1869.7,2029.74,99.9,0.0,482025.7,492737.3,False
2024-06-06,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3403.82,3112.97,2104.56,2042.29,88.5,0.0,397099.28,405333.34,False
2024-02-01,AMR-001,Ford Motor - Michigan Facility,North America,12,Planning,4435.27,4317.28,2588.03,2661.16,106.3,0.0,75615.63,77750.3,False
2024-03-29,AMR-001,Ford Motor - Michigan Facility,North America,12,Staging & Config,4165.02,4394.66,3035.23,2499.01,100.9,0.0,313466.35,319727.25,False
2024-08-21,AMR-005,Amazon - Dallas FC,North America,30,UAT,6311.39,5342.23,3281.71,3786.84,335.8,0.0,889933.44,911976.51,False
2024-08-23,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,5259.1,4908.9,3123.82,3155.46,168.6,0.0,850738.34,878404.53,False
2024-09-20,AMR-003,DHL - Singapore Hub,APAC,20,Monitoring,5148.04,4522.44,2840.45,3088.82,187.9,0.0,994521.79,1027550.25,False
2024-04-14,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Site Installation,4907.15,4408.84,2636.4,2944.29,157.9,0.0,399549.01,411194.38,False
2024-04-17,AMR-005,Amazon - Dallas FC,North America,30,Planning,6192.11,6165.98,3837.74,3715.26,345.8,0.0,106743.61,105400.68,False
2024-08-20,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,5723.28,7303.26,4318.55,3433.97,234.0,0.0,644162.57,668031.88,True
2024-05-17,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Site Installation,4033.46,4138.07,2850.66,2420.07,65.2,1.0,407813.85,420630.5,False
2024-06-21,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,UAT,3681.2,5156.78,2855.6,2208.72,89.0,0.0,541745.12,557324.79,True
2024-07-18,AMR-001,Ford Motor - Michigan Facility,North America,12,Monitoring,4183.77,4229.02,2762.75,2510.26,141.8,0.0,776090.55,803267.36,False
2024-03-26,AMR-001,Ford Motor - Michigan Facility,North America,12,Staging & Config,4300.02,4088.51,2630.41,2580.01,138.0,0.0,300660.2,306293.03,False
2024-08-09,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5014.67,5421.43,3655.61,3008.8,213.8,1.0,779041.59,799595.92,False
2024-09-02,AMR-005,Amazon - Dallas FC,North America,30,UAT,6771.68,7467.42,4989.53,4063.01,259.5,0.0,962635.35,991107.0,False
2024-08-26,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,4799.06,6331.57,3661.81,2879.44,162.1,0.0,866125.11,895619.4,False
2024-05-15,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,4990.59,5126.97,3183.3,2994.36,187.1,0.0,341259.21,349075.47,False
2024-09-07,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,5580.88,4947.76,3459.45,3348.53,250.1,0.0,747777.43,774926.63,False
2024-05-05,AMR-004,Bosch - Stuttgart Plant,EMEA,15,UAT,4990.47,4572.98,2863.61,2994.28,130.6,0.0,497461.74,511084.53,False
2024-07-17,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,5396.65,5563.82,3197.88,3237.99,214.6,1.0,659955.36,680332.26,False
2024-05-07,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,4112.2,4581.37,3065.51,2467.32,107.8,0.0,476855.95,492217.93,False
2024-06-16,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Monitoring,4477.15,5224.97,2933.59,2686.29,134.0,0.0,691991.75,713909.5,False
2024-06-29,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,5234.05,5472.09,3242.26,3140.43,183.8,1.0,568683.53,583411.58,False
2024-08-12,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Monitoring,3758.2,4164.69,2860.87,2254.92,68.2,0.0,740034.91,762386.05,False
2024-09-03,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,5349.84,5778.78,3543.12,3209.91,238.4,0.0,907371.77,939445.41,False
2024-03-27,AMR-003,DHL - Singapore Hub,APAC,20,Planning,4854.74,4918.34,2818.18,2912.84,202.3,0.0,92011.76,92664.63,False
2024-05-02,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,4847.79,5419.74,3607.18,2908.68,221.4,0.0,273607.31,281280.13,False
2024-04-14,AMR-006,Unilever - Rotterdam DC,EMEA,10,Staging & Config,3545.7,3690.27,2254.87,2127.42,115.9,0.0,211020.67,215372.15,False
2024-04-19,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,3961.13,4143.43,2670.46,2376.68,138.1,0.0,402264.17,412314.75,False
2024-02-18,AMR-001,Ford Motor - Michigan Facility,North America,12,Hardware Procurement,4647.9,4376.57,2433.81,2788.74,,0.0,147226.02,148268.0,False
2024-05-15,AMR-004,Bosch - Stuttgart Plant,EMEA,15,UAT,4554.4,5628.33,3904.76,2732.64,129.5,0.0,542965.93,557766.31,False
2024-04-11,AMR-006,Unilever - Rotterdam DC,EMEA,10,Staging & Config,3694.61,3299.35,2285.24,2216.76,86.8,0.0,200105.38,204391.59,False
2024-06-23,AMR-001,Ford Motor - Michigan Facility,North America,12,Go-Live,3882.76,3875.85,2650.49,2329.66,96.3,0.0,672448.26,696043.45,False
2024-03-06,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Staging & Config,4356.24,4786.61,3317.78,2613.74,172.7,0.0,217069.62,227627.44,False
2024-01-23,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Planning,4475.54,4848.14,2995.02,2685.32,145.5,1.0,17825.94,19103.71,False
2024-06-12,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Go-Live,4974.84,3970.42,2768.78,2984.91,143.2,0.0,673842.83,694322.46,False
2024-09-11,AMR-003,DHL - Singapore Hub,APAC,20,Monitoring,5265.3,5444.45,3276.9,3159.18,171.0,0.0,948134.04,980996.97,False
2024-07-22,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3429.86,3411.4,2161.87,2057.91,96.5,0.0,557888.22,571399.4,False
2024-05-14,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,5511.07,4805.57,2732.35,3306.64,203.3,0.0,336268.62,343948.5,False
2024-06-24,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Hardware Procurement,5849.43,6277.98,3812.94,3509.66,242.4,0.0,316500.65,328234.71,False
2024-09-18,AMR-005,Amazon - Dallas FC,North America,30,Go-Live,6026.35,6410.35,4301.5,3615.81,251.6,1.0,1061824.63,1089682.71,False
2024-07-23,AMR-001,Ford Motor - Michigan Facility,North America,12,Monitoring,4013.26,4227.2,2953.63,2407.95,123.3,0.0,796934.88,823797.34,False
2024-05-20,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3468.46,3154.72,1967.63,2081.07,111.8,0.0,337840.06,341686.62,False
2024-01-28,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Planning,4715.05,5312.85,3663.58,2829.03,154.5,0.0,41201.03,43143.87,False
2024-02-29,AMR-006,Unilever - Rotterdam DC,EMEA,10,Planning,3573.47,3667.43,2286.96,2144.08,111.4,0.0,52635.52,51893.16,False
2024-05-17,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Planning,5619.31,5789.65,3887.37,3371.59,274.9,0.0,96837.5,103561.3,False
2024-09-12,AMR-005,Amazon - Dallas FC,North America,30,Go-Live,6186.21,5685.41,3665.78,3711.73,253.1,0.0,1024809.11,1052585.1,False
2024-08-07,AMR-005,Amazon - Dallas FC,North America,30,Site Installation,5772.77,5922.0,3325.38,3463.66,349.7,0.0,802977.58,824695.61,False
2024-06-12,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Hardware Procurement,5425.55,5635.64,3905.36,3255.33,242.4,0.0,247395.51,258107.73,False
2024-04-02,AMR-001,Ford Motor - Michigan Facility,North America,12,Staging & Config,4051.51,3837.72,2675.04,2430.9,139.3,0.0,330138.94,337235.84,False
2024-07-02,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,5387.94,5108.87,2957.92,3232.77,214.5,0.0,584458.31,600080.78,False
2024-09-15,AMR-003,DHL - Singapore Hub,APAC,20,Monitoring,5383.23,5053.84,3276.44,3229.94,217.3,0.0,969247.99,1002251.28,False
2024-03-09,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Staging & Config,4540.98,5040.11,3289.0,2724.59,154.1,0.0,231518.96,242573.96,False
2024-06-20,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3507.43,3423.77,2108.92,2104.46,93.1,0.0,446600.99,456555.36,False
2024-07-21,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3166.96,3166.71,1969.21,1900.18,114.8,0.0,554458.37,567988.0,False
2024-05-09,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3533.84,3164.55,1864.74,2120.31,94.7,0.0,298384.26,303119.86,False
2024-08-27,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,5114.19,5584.12,3148.04,3068.51,186.5,0.0,871239.3,901203.52,False
2024-12-04,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Go-Live,5839.64,5601.49,3221.64,3503.79,298.6,0.0,1261331.82,1302199.07,False
2024-08-09,AMR-006,Unilever - Rotterdam DC,EMEA,10,Go-Live,3429.38,3474.73,2006.28,2057.63,102.7,0.0,622034.02,634927.27,False
2024-09-09,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,5828.8,6402.83,3609.9,3497.28,236.0,0.0,759277.22,786830.47,False
2024-02-28,AMR-006,Unilever - Rotterdam DC,EMEA,10,Planning,3753.56,3328.22,2226.32,2252.14,91.8,0.0,49062.05,48225.73,False
2024-09-04,AMR-005,Amazon - Dallas FC,North America,30,UAT,5860.98,6511.48,3708.28,3516.59,282.4,1.0,974600.43,1003381.48,False
2024-08-25,AMR-006,Unilever - Rotterdam DC,EMEA,10,Monitoring,3366.26,3486.91,2164.9,2019.76,109.6,0.0,678644.77,693326.73,False
2024-06-12,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,4832.4,5276.8,3541.8,2899.44,179.2,0.0,482425.13,494942.46,False
2024-05-10,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,5256.97,5529.94,3298.19,3154.18,219.5,0.0,314702.7,323369.9,False
2024-05-30,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3603.72,3906.29,2379.69,2162.23,111.3,0.0,372483.67,379231.43,False
2024-09-14,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,6093.61,5291.79,3689.79,3656.17,215.1,,789173.02,815686.66,False
2024-12-02,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Go-Live,5526.0,5649.69,3599.0,3315.6,263.9,0.0,1249427.77,1289447.28,False
2024-06-24,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Monitoring,4548.72,4323.02,2546.74,2729.23,160.2,0.0,728157.66,753539.91,False
2024-04-02,AMR-006,Unilever - Rotterdam DC,EMEA,10,Hardware Procurement,3263.32,4143.37,2800.4,1957.99,110.7,14.0,168719.47,172712.48,True
2024-02-23,AMR-006,Unilever - Rotterdam DC,EMEA,10,Planning,3014.56,3629.57,2533.22,1808.74,119.5,0.0,31228.36,31903.86,False
2024-09-10,AMR-003,DHL - Singapore Hub,APAC,20,Monitoring,5121.37,5171.25,2927.61,3072.82,199.7,0.0,942868.74,975552.52,False
2024-04-13,AMR-006,Unilever - Rotterdam DC,EMEA,10,Staging & Config,3704.78,3615.47,2183.82,2222.87,95.3,0.0,207474.97,211681.88,False
2024-10-02,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,5519.45,6187.93,3674.47,3311.67,286.8,0.0,894262.43,926335.55,False
