date,project_id,client,region,fleet_size,deployment_status,planned_daily_spend_usd,actual_daily_spend_usd,hw_cost_actual_usd,hw_cost_planned_usd,labor_hours,shipping_delay_days,cumulative_planned_usd,cumulative_actual_usd,is_spike_day,month,week,day_of_week,is_weekend,daily_spend_variance_usd,project_start_date,project_end_date,total_planned_usd,days_elapsed,project_duration_days,pct_timeline_elapsed
2024-01-25,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4087.6,4460.31,2913.7,2452.56,121.3,0.0,46286.04,47990.47,False,2024-01,4,Thursday,False,372.71,2024-01-15,2024-07-30,826251.23,11,198,0.0556
2024-01-26,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4158.94,4684.32,2876.56,2495.36,124.1,0.0,50444.98,52674.79,False,2024-01,4,Friday,False,525.38,2024-01-15,2024-07-30,826251.23,12,198,0.0606
2024-01-27,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4177.27,4036.74,2265.31,2506.36,135.6,0.0,54622.25,56711.53,False,2024-01,4,Saturday,True,-140.53,2024-01-15,2024-07-30,826251.23,13,198,0.0657
2024-01-28,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,3935.46,4343.17,2691.57,2361.28,130.1,0.0,58557.71,61054.7,False,2024-01,4,Sunday,True,407.71,2024-01-15,2024-07-30,826251.23,14,198,0.0707
2024-01-29,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4338.85,3844.1,2269.79,2603.31,109.5,0.0,62896.56,64898.8,False,2024-01,5,Monday,False,-494.75,2024-01-15,2024-07-30,826251.23,15,198,0.0758
2024-01-30,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4205.22,4203.23,2454.21,2523.13,105.7,2.0,67101.78,69102.03,False,2024-01,5,Tuesday,False,-1.99,2024-01-15,2024-07-30,826251.23,16,198,0.0808
2024-01-31,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4078.59,4330.99,2494.0,2447.15,109.7,0.0,71180.37,73433.02,False,2024-01,5,Wednesday,False,252.4,2024-01-15,2024-07-30,826251.23,17,198,0.0859
2024-02-01,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4435.27,4317.28,2588.03,2661.16,106.3,0.0,75615.64,77750.3,False,2024-02,5,Thursday,False,-117.99,2024-01-15,2024-07-30,826251.23,18,198,0.0909
2024-02-02,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4190.3,4662.57,2770.95,2514.18,117.7,0.0,79805.94,82412.87,False,2024-02,5,Friday,False,472.27,2024-01-15,2024-07-30,826251.23,19,198,0.096
2024-02-03,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4264.26,3846.28,2542.55,2558.55,125.1,0.0,84070.2,86259.15,False,2024-02,5,Saturday,True,-417.98,2024-01-15,2024-07-30,826251.23,20,198,0.101
2024-02-04,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4304.05,4304.83,2869.62,2582.43,105.1,0.0,88374.25,90563.98,False,2024-02,5,Sunday,True,0.78,2024-01-15,2024-07-30,826251.23,21,198,0.1061
2024-02-05,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4103.28,4255.58,2719.85,2461.97,132.8,0.0,92477.53,94819.56,False,2024-02,6,Monday,False,152.3,2024-01-15,2024-07-30,826251.23,22,198,0.1111
2024-02-06,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4672.5,4745.39,2809.39,2803.5,124.2,0.0,97150.03,99564.95,False,2024-02,6,Tuesday,False,72.89,2024-01-15,2024-07-30,826251.23,23,198,0.1162
2024-02-07,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4105.49,4264.81,2880.57,2463.29,125.2,0.0,101255.52,103829.76,False,2024-02,6,Wednesday,False,159.32,2024-01-15,2024-07-30,826251.23,24,198,0.1212
2024-02-08,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3932.4,4008.91,2570.19,2359.44,134.3,0.0,105187.92,107838.67,False,2024-02,6,Thursday,False,76.51,2024-01-15,2024-07-30,826251.23,25,198,0.1263
2024-02-09,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3665.46,3851.39,2289.82,2199.27,96.4,0.0,108853.38,111690.06,False,2024-02,6,Friday,False,185.93,2024-01-15,2024-07-30,826251.23,26,198,0.1313
2024-02-10,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4101.92,4449.38,3004.44,2461.15,129.1,0.0,112955.3,116139.44,False,2024-02,6,Saturday,True,347.46,2024-01-15,2024-07-30,826251.23,27,198,0.1364
2024-02-11,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4224.2,4178.69,2723.16,2534.52,109.0,0.0,117179.5,120318.13,False,2024-02,6,Sunday,True,-45.51,2024-01-15,2024-07-30,826251.23,28,198,0.1414
2024-02-12,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4252.36,5225.098178292014,3379.646457815183,2551.42,97.4,0.0,121431.86,125543.23,False,2024-02,7,Monday,False,972.74,2024-01-15,2024-07-30,826251.23,29,198,0.1465
2024-02-13,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4100.64,3916.73,2295.47,2460.39,97.6,0.0,125532.5,129459.96,False,2024-02,7,Tuesday,False,-183.91,2024-01-15,2024-07-30,826251.23,30,198,0.1515
2024-02-14,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4297.46,3988.75,2346.8,2578.47,103.8,0.0,129829.96,133448.71,False,2024-02,7,Wednesday,False,-308.71,2024-01-15,2024-07-30,826251.23,31,198,0.1566
2024-02-15,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4510.22,3912.92,2220.1,2706.13,103.4,2.0,134340.18,137361.63,False,2024-02,7,Thursday,False,-597.3,2024-01-15,2024-07-30,826251.23,32,198,0.1616
2024-02-16,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4068.23,3944.51,2342.07,2440.94,108.1,0.0,138408.41,141306.14,False,2024-02,7,Friday,False,-123.72,2024-01-15,2024-07-30,826251.23,33,198,0.1667
2024-02-17,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4169.73,4595.54,2981.62,2501.84,127.3,0.0,142578.14,145901.68,False,2024-02,7,Saturday,True,425.81,2024-01-15,2024-07-30,826251.23,34,198,0.1717
2024-02-18,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4647.9,4376.57,2433.81,2788.74,121.95,0.0,147226.04,150278.25,False,2024-02,7,Sunday,True,-271.33,2024-01-15,2024-07-30,826251.23,35,198,0.1768
2024-02-19,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4388.75,4155.35,2560.32,2633.25,126.1,0.0,151614.79,154433.6,False,2024-02,8,Monday,False,-233.4,2024-01-15,2024-07-30,826251.23,36,198,0.1818
2024-02-20,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4212.73,4157.67,2483.57,2527.64,125.4,0.0,155827.52,158591.27,False,2024-02,8,Tuesday,False,-55.06,2024-01-15,2024-07-30,826251.23,37,198,0.1869
2024-02-21,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4243.76,4545.8,2694.64,2546.25,120.6,0.0,160071.28,163137.07,False,2024-02,8,Wednesday,False,302.04,2024-01-15,2024-07-30,826251.23,38,198,0.1919
2024-02-22,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4105.05,4295.73,2857.97,2463.03,105.4,0.0,164176.33,167432.8,False,2024-02,8,Thursday,False,190.68,2024-01-15,2024-07-30,826251.23,39,198,0.197
2024-02-23,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3887.53,3686.97,2035.97,2332.52,100.0,0.0,168063.86,171119.77,False,2024-02,8,Friday,False,-200.56,2024-01-15,2024-07-30,826251.23,40,198,0.202
2024-02-24,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4080.21,4424.9,2529.62,2448.13,128.4,0.0,172144.07,175544.67,False,2024-02,8,Saturday,True,344.69,2024-01-15,2024-07-30,826251.23,41,198,0.2071
2024-02-25,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4282.57,4120.68,2591.53,2569.54,128.0,0.0,176426.64,179665.35,False,2024-02,8,Sunday,True,-161.89,2024-01-15,2024-07-30,826251.23,42,198,0.2121
2024-02-26,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3858.16,4047.32,2261.4,2314.89,143.3,0.0,180284.8,183712.67,False,2024-02,9,Monday,False,189.16,2024-01-15,2024-07-30,826251.23,43,198,0.2172
2024-02-27,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3716.75,4353.33,2489.01,2230.05,130.5,2.0,184001.55,188066.0,False,2024-02,9,Tuesday,False,636.58,2024-01-15,2024-07-30,826251.23,44,198,0.2222
2024-02-28,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4480.88,4337.56,2507.66,2688.53,135.7,0.0,188482.43,192403.56,False,2024-02,9,Wednesday,False,-143.32,2024-01-15,2024-07-30,826251.23,45,198,0.2273
2024-02-29,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4353.64,4325.68,2793.93,2612.18,114.9,0.0,192836.07,196729.24,False,2024-02,9,Thursday,False,-27.96,2024-01-15,2024-07-30,826251.23,46,198,0.2323
2024-03-01,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4300.35,4425.66,2714.2,2580.21,107.3,0.0,197136.42,201154.9,False,2024-03,9,Friday,False,125.31,2024-01-15,2024-07-30,826251.23,47,198,0.2374
2024-03-02,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4294.25,4433.15,3091.38,2576.55,99.3,0.0,201430.67,205588.05,False,2024-03,9,Saturday,True,138.9,2024-01-15,2024-07-30,826251.23,48,198,0.2424
2024-03-03,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,3526.33,4444.62,3016.3,2115.8,134.8,0.0,204957.0,210032.67,False,2024-03,9,Sunday,True,918.29,2024-01-15,2024-07-30,826251.23,49,198,0.2475
2024-03-04,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Hardware Procurement,4059.81,4006.96,2453.5,2435.89,109.3,0.0,209016.81,214039.63,False,2024-03,10,Monday,False,-52.85,2024-01-15,2024-07-30,826251.23,50,198,0.2525
2024-03-05,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4133.75,3978.82,2454.59,2480.25,100.9,0.0,213150.56,218018.45,False,2024-03,10,Tuesday,False,-154.93,2024-01-15,2024-07-30,826251.23,51,198,0.2576
2024-03-06,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4105.1,4296.33,2575.97,2463.06,105.5,0.0,217255.66,222314.78,False,2024-03,10,Wednesday,False,191.23,2024-01-15,2024-07-30,826251.23,52,198,0.2626
2024-03-07,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4571.56,4171.13,2851.61,2742.94,117.7,0.0,221827.22,226485.91,False,2024-03,10,Thursday,False,-400.43,2024-01-15,2024-07-30,826251.23,53,198,0.2677
2024-03-08,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4183.12,4155.15,2542.37,2509.87,141.3,1.0,226010.34,230641.06,False,2024-03,10,Friday,False,-27.97,2024-01-15,2024-07-30,826251.23,54,198,0.2727
2024-03-09,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4324.03,4061.16,2557.69,2594.42,124.5,0.0,230334.37,234702.22,False,2024-03,10,Saturday,True,-262.87,2024-01-15,2024-07-30,826251.23,55,198,0.2778
2024-03-10,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4231.1,4578.82,2912.48,2538.66,108.8,0.0,234565.47,239281.04,False,2024-03,10,Sunday,True,347.72,2024-01-15,2024-07-30,826251.23,56,198,0.2828
2024-03-11,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,3989.72,4216.3,2938.72,2393.83,102.4,0.0,238555.19,243497.34,False,2024-03,11,Monday,False,226.58,2024-01-15,2024-07-30,826251.23,57,198,0.2879
2024-03-12,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4334.26,5225.098178292014,3379.646457815183,2600.55,140.5,2.0,242889.45,248722.44,True,2024-03,11,Tuesday,False,890.84,2024-01-15,2024-07-30,826251.23,58,198,0.2929
2024-03-13,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4251.82,4304.66,2872.04,2551.09,110.9,0.0,247141.27,253027.1,False,2024-03,11,Wednesday,False,52.84,2024-01-15,2024-07-30,826251.23,59,198,0.298
2024-03-14,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4070.09,3890.71,2370.95,2442.06,136.0,0.0,251211.36,256917.81,False,2024-03,11,Thursday,False,-179.38,2024-01-15,2024-07-30,826251.23,60,198,0.303
2024-03-15,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,3966.68,4090.61,2317.34,2380.01,123.8,0.0,255178.04,261008.42,False,2024-03,11,Friday,False,123.93,2024-01-15,2024-07-30,826251.23,61,198,0.3081
2024-03-16,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4238.23,4206.11,2818.52,2542.94,96.2,0.0,259416.27,265214.53,False,2024-03,11,Saturday,True,-32.12,2024-01-15,2024-07-30,826251.23,62,198,0.3131
2024-03-17,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4105.92,4608.61,2944.97,2463.55,113.4,0.0,263522.19,269823.14,False,2024-03,11,Sunday,True,502.69,2024-01-15,2024-07-30,826251.23,63,198,0.3182
2024-03-18,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4054.03,4343.54,2662.45,2432.42,141.8,0.0,267576.22,274166.68,False,2024-03,12,Monday,False,289.51,2024-01-15,2024-07-30,826251.23,64,198,0.3232
2024-03-19,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,3708.29,4411.18,2789.74,2224.98,114.6,0.0,271284.51,278577.86,False,2024-03,12,Tuesday,False,702.89,2024-01-15,2024-07-30,826251.23,65,198,0.3283
2024-03-20,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4460.74,3748.52,2441.47,2676.44,114.3,0.0,275745.25,282326.38,False,2024-03,12,Wednesday,False,-712.22,2024-01-15,2024-07-30,826251.23,66,198,0.3333
2024-03-21,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,3700.06,3739.94,2172.61,2220.03,121.4,0.0,279445.31,286066.32,False,2024-03,12,Thursday,False,39.88,2024-01-15,2024-07-30,826251.23,67,198,0.3384
2024-03-22,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4372.82,4719.11,3221.29,2623.69,127.2,0.0,283818.13,290785.43,False,2024-03,12,Friday,False,346.29,2024-01-15,2024-07-30,826251.23,68,198,0.3434
2024-03-23,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,3963.98,4258.26,2902.08,2378.39,132.5,0.0,287782.11,295043.69,False,2024-03,12,Saturday,True,294.28,2024-01-15,2024-07-30,826251.23,69,198,0.3485
2024-03-24,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4562.89,3871.51,2140.78,2737.73,127.8,0.0,292345.0,298915.2,False,2024-03,12,Sunday,True,-691.38,2024-01-15,2024-07-30,826251.23,70,198,0.3535
2024-03-25,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4015.26,4496.82,2534.84,2409.16,130.5,0.0,296360.26,303412.02,False,2024-03,13,Monday,False,481.56,2024-01-15,2024-07-30,826251.23,71,198,0.3586
2024-03-26,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4300.02,4088.51,2630.41,2580.01,138.0,0.0,300660.28,307500.53,False,2024-03,13,Tuesday,False,-211.51,2024-01-15,2024-07-30,826251.23,72,198,0.3636
2024-03-27,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4452.98,4520.66,2682.22,2671.79,121.6,0.0,305113.26,312021.19,False,2024-03,13,Wednesday,False,67.68,2024-01-15,2024-07-30,826251.23,73,198,0.3687
2024-03-28,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4188.15,4518.89,2818.15,2512.89,113.9,0.0,309301.41,316540.08,False,2024-03,13,Thursday,False,330.74,2024-01-15,2024-07-30,826251.23,74,198,0.3737
2024-03-29,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4165.02,4394.66,3035.23,2499.01,100.9,0.0,313466.43,320934.74,False,2024-03,13,Friday,False,229.64,2024-01-15,2024-07-30,826251.23,75,198,0.3788
2024-03-30,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4173.37,4460.15,2480.89,2504.02,138.3,0.0,317639.8,325394.89,False,2024-03,13,Saturday,True,286.78,2024-01-15,2024-07-30,826251.23,76,198,0.3838
2024-03-31,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4430.27,4910.14,2767.02,2658.16,140.5,0.0,322070.07,330305.03,False,2024-03,13,Sunday,True,479.87,2024-01-15,2024-07-30,826251.23,77,198,0.3889
2024-04-01,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4017.45,4300.58,2726.51,2410.47,114.5,0.0,326087.52,334605.61,False,2024-04,14,Monday,False,283.13,2024-01-15,2024-07-30,826251.23,78,198,0.3939
2024-04-02,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4051.51,3837.72,2675.04,2430.9,139.3,0.0,330139.03,338443.33,False,2024-04,14,Tuesday,False,-213.79,2024-01-15,2024-07-30,826251.23,79,198,0.399
2024-04-03,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Staging & Config,4296.1,4613.63,2587.79,2577.66,116.1,0.0,334435.13,343056.96,False,2024-04,14,Wednesday,False,317.53,2024-01-15,2024-07-30,826251.23,80,198,0.404
2024-04-04,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4129.34,4222.24,2841.44,2477.6,115.5,0.0,338564.47,347279.2,False,2024-04,14,Thursday,False,92.9,2024-01-15,2024-07-30,826251.23,81,198,0.4091
2024-04-05,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4515.79,4441.9,2643.31,2709.47,138.1,0.0,343080.26,351721.1,False,2024-04,14,Friday,False,-73.89,2024-01-15,2024-07-30,826251.23,82,198,0.4141
2024-04-06,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4153.05,4798.45,3191.06,2491.83,123.0,0.0,347233.31,356519.55,False,2024-04,14,Saturday,True,645.4,2024-01-15,2024-07-30,826251.23,83,198,0.4192
2024-04-07,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4308.22,3781.76,2508.11,2584.93,138.7,0.0,351541.53,360301.31,False,2024-04,14,Sunday,True,-526.46,2024-01-15,2024-07-30,826251.23,84,198,0.4242
2024-04-08,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,3913.81,4811.19,2658.6,2348.29,133.7,0.0,355455.34,365112.5,False,2024-04,15,Monday,False,897.38,2024-01-15,2024-07-30,826251.23,85,198,0.4293
2024-04-09,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4419.65,4805.63,2957.81,2651.79,96.7,0.0,359874.99,369918.13,False,2024-04,15,Tuesday,False,385.98,2024-01-15,2024-07-30,826251.23,86,198,0.4343
2024-04-10,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4483.77,4058.54,2298.24,2690.26,98.1,0.0,364358.76,373976.67,False,2024-04,15,Wednesday,False,-425.23,2024-01-15,2024-07-30,826251.23,87,198,0.4394
2024-04-11,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4414.07,4362.34,2745.66,2648.44,110.6,0.0,368772.83,378339.01,False,2024-04,15,Thursday,False,-51.73,2024-01-15,2024-07-30,826251.23,88,198,0.4444
2024-04-12,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4663.09,4463.35,2927.08,2797.86,114.4,0.0,373435.92,382802.36,False,2024-04,15,Friday,False,-199.74,2024-01-15,2024-07-30,826251.23,89,198,0.4495
2024-04-13,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4224.18,5225.098178292014,3385.27,2534.51,114.8,0.0,377660.1,388027.45,True,2024-04,15,Saturday,True,1000.92,2024-01-15,2024-07-30,826251.23,90,198,0.4545
2024-04-14,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4157.67,3907.62,2701.52,2494.6,112.0,0.0,381817.77,391935.07,False,2024-04,15,Sunday,True,-250.05,2024-01-15,2024-07-30,826251.23,91,198,0.4596
2024-04-15,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,3969.0,4484.69,2789.56,2381.4,99.9,0.0,385786.77,396419.76,False,2024-04,16,Monday,False,515.69,2024-01-15,2024-07-30,826251.23,92,198,0.4646
2024-04-16,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4129.26,3822.73,2225.46,2477.56,139.6,0.0,389916.03,400242.49,False,2024-04,16,Tuesday,False,-306.53,2024-01-15,2024-07-30,826251.23,93,198,0.4697
2024-04-17,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4204.86,4891.89,3334.55,2522.91,110.9,0.0,394120.89,405134.38,False,2024-04,16,Wednesday,False,687.03,2024-01-15,2024-07-30,826251.23,94,198,0.4747
2024-04-18,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4182.26,3969.24,2544.24,2509.35,118.5,0.0,398303.15,409103.62,True,2024-04,16,Thursday,False,-213.02,2024-01-15,2024-07-30,826251.23,95,198,0.4798
2024-04-19,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,3961.13,4143.43,2670.46,2376.68,138.1,0.0,402264.28,413247.05,False,2024-04,16,Friday,False,182.3,2024-01-15,2024-07-30,826251.23,96,198,0.4848
2024-04-20,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4352.22,4760.75,2984.1,2611.33,110.9,0.0,406616.5,418007.8,False,2024-04,16,Saturday,True,408.53,2024-01-15,2024-07-30,826251.23,97,198,0.4899
2024-04-21,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4019.16,4519.59,2764.2,2411.49,136.1,0.0,410635.66,422527.39,False,2024-04,16,Sunday,True,500.43,2024-01-15,2024-07-30,826251.23,98,198,0.4949
2024-04-22,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4295.45,3985.26,2478.62,2577.27,137.1,0.0,414931.11,426512.65,False,2024-04,17,Monday,False,-310.19,2024-01-15,2024-07-30,826251.23,99,198,0.5
2024-04-23,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4120.89,4551.73,2656.68,2472.53,121.9,0.0,419052.0,431064.38,False,2024-04,17,Tuesday,False,430.84,2024-01-15,2024-07-30,826251.23,100,198,0.5051
2024-04-24,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4146.39,4836.51,3180.47,2487.84,112.7,1.0,423198.39,435900.89,True,2024-04,17,Wednesday,False,690.12,2024-01-15,2024-07-30,826251.23,101,198,0.5101
2024-04-25,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Site Installation,4336.18,4255.86,2671.645,2601.71,103.3,0.0,427534.57,440156.75,False,2024-04,17,Thursday,False,-80.32,2024-01-15,2024-07-30,826251.23,102,198,0.5152
